Search terms report
All time
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
arashiyama bamboo grove kyoto,Performance Max,None,1,2,50.00%,JPY,107,107,0.00%,0.00,0
2 days in kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 景點,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto beautiful,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
is kyoto worth visiting,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan travel kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว เกีย ว โต 1 วัน,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto what to do,Performance Max,None,1,7,14.29%,JPY,57,57,0.00%,0.00,0
cosa vedere kyoto,Performance Max,Excluded,1,1,100.00%,JPY,32,32,0.00%,0.00,0
loop kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto visiting places,Performance Max,None,1,1,100.00%,JPY,76,76,0.00%,0.00,0
kyoto japan guide,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto wisata,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 の 秋,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto city walk,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
japanese kyoto,Performance Max,None,1,3,33.33%,JPY,11,11,0.00%,0.00,0
kyoto red light district,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto trip itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto places,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
inside kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto must see,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
京都 攻略,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
best spot in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
what to do in kyoto december,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto on dummy,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
hyakumanben kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
geisha walking tour kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
what to visit in kyoto,Performance Max,None,0,8,0.00%,JPY,0,0,0.00%,0.00,0
one day in kyoto,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
the guide five stars in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
places to visit in kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan trip,Performance Max,None,0,22,0.00%,JPY,0,0,0.00%,0.00,0
how to do kyoto,Performance Max,Excluded,0,5,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan walking tour,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
京都 スポット,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
1 day trip from kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
